Provincia,Partido,Localidad,Link Indec,0-10 Mbps,+10-25 Mbps,+25-50 Mbps,+50-100 Mbps,+100-250 Mbps,+250-500 Mbps,+500-1024 Mbps,4000 Mbps,10000 Mbps,Otras_Velocidades,ADSL,CABLEMODEM,DIAL UP,FIBRA OPTICA,SATELITAL,WIMAX,WIRELESS,Otras_Tecnologias,Totales_Tecnologias
BUENOS AIRES,Trenque Lauquen,Girodias,6826020,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47,0,0,0,0,0,2,0,49
BUENOS AIRES,Trenque Lauquen,La Carreta,6826030,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,2
BUENOS AIRES,Trenque Lauquen,Trenque Lauquen,6826050,11037.0,267.0,6950.0,836.0,0.0,393.0,6.0,0.0,0.0,0.0,2369,0,61,13719,1,0,1241,0,17391
BUENOS AIRES,Trenque Lauquen,Trongé,6826060,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,2
BUENOS AIRES,Tres Arroyos,Claromecó,6833020,1090.0,1030.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,228,0,0,786,0,0,1167,0,2181
BUENOS AIRES,Tres Arroyos,Copetonas,6833030,89.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,89,0,90
BUENOS AIRES,Tres Arroyos,Lin Calel,6833040,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,11,0,11
BUENOS AIRES,Tres Arroyos,Micaela Cascallares  (Est. Cascallares),6833050,40.0,136.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,176,0,177
BUENOS AIRES,Tres Arroyos,Orense,6833060,557.0,239.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,246,0,0,146,407,800
BUENOS AIRES,Tres Arroyos,Reta,6833070,223.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,224,0,224
BUENOS AIRES,Tres Arroyos,San Francisco de Bellocq,6833080,21.0,61.0,0.0,0.0,0.0,76.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,158,0,158
BUENOS AIRES,Tres Arroyos,San Mayol,6833090,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,18,0,18
BUENOS AIRES,Tres Arroyos,Tres Arroyos,6833100,6516.0,1450.0,1694.0,6739.0,0.0,1983.0,17.0,0.0,0.0,2.0,1077,13986,57,1663,1,0,1341,54,18179
BUENOS AIRES,Tres De Febrero,11 De Septiembre,6840010,18.0,2.0,33.0,259.0,315.0,555.0,136.0,0.0,0.0,0.0,3,1283,0,4,0,0,0,28,1318
BUENOS AIRES,Tres De Febrero,Caseros,6840010,414.0,97.0,7723.0,9678.0,3602.0,11686.0,1579.0,0.0,0.0,5.0,141,24934,2,9334,1,0,2,370,34784
BUENOS AIRES,Tres De Febrero,Churruca,6840010,21.0,2.0,1557.0,43.0,409.0,394.0,110.0,0.0,0.0,0.0,1,955,0,1630,0,0,0,30,2616
BUENOS AIRES,Tres De Febrero,Ciudad Jardín Lomas del Palomar,6840010,53.0,11.0,864.0,2037.0,527.0,2834.0,323.0,0.0,0.0,0.0,26,5611,0,951,0,0,0,61,6649
BUENOS AIRES,Tres De Febrero,Ciudadela,6840010,1011.0,262.0,12792.0,4236.0,1788.0,6041.0,827.0,0.0,0.0,7.0,123,11863,66,15867,3,0,4,250,28176
BUENOS AIRES,Tres De Febrero,El Libertador,6840010,61.0,3.0,36.0,147.0,1477.0,1076.0,334.0,0.0,0.0,0.0,3,3041,0,1,0,0,0,89,3134
BUENOS AIRES,Tres De Febrero,Jose Ingenieros,6840010,28.0,5.0,506.0,804.0,197.0,996.0,102.0,0.0,0.0,0.0,3,2025,0,579,0,0,5,25,2637
BUENOS AIRES,Tres De Febrero,Loma Hermosa,6840010,131.0,6.0,238.0,1724.0,1127.0,2629.0,399.0,0.0,0.0,2.0,37,6042,0,61,0,0,0,116,6256
BUENOS AIRES,Tres De Febrero,Martín Coronado,6840010,61.0,12.0,2306.0,2205.0,757.0,2510.0,377.0,0.0,0.0,0.0,8,5310,1,2821,0,0,0,88,8228
BUENOS AIRES,Tres De Febrero,Pablo Podestá,6840010,434.0,142.0,113.0,943.0,743.0,1620.0,230.0,0.0,0.0,6.0,66,3647,0,9,0,0,438,71,4231
BUENOS AIRES,Tres De Febrero,Remedios De Escalada,6840010,74.0,1.0,5678.0,3210.0,931.0,2053.0,451.0,0.0,0.0,1.0,2,3135,0,9161,0,0,0,101,12399
BUENOS AIRES,Tres De Febrero,Saenz Peña,6840010,75.0,10.0,939.0,1959.0,713.0,2698.0,319.0,0.0,0.0,1.0,15,5684,0,947,1,0,1,66,6714
BUENOS AIRES,Tres De Febrero,Santos Lugares,6840010,94.0,11.0,1306.0,2403.0,814.0,3330.0,405.0,0.0,0.0,4.0,27,6847,0,1387,0,0,1,105,8367
