Año,Trimestre,Provincia,0-10 Mbps,+10-25 Mbps,+25-50 Mbps,+50-100 Mbps,+100-250 Mbps,+250-500 Mbps,+500-1000 Mbps,+1000-5000 Mbps,+5000 Mbps,Otras_Velocidades,Mbps (Media de bajada),Accesos por cada 100 hab,Accesos por cada 100 hogares,ADSL,Cablemodem,Fibra óptica,Wireless,Otras_Tecnologias,Total_Tecnologias
2023,4,La Rioja,3722.0,25047.0,40829.0,11266.0,137.0,6712.0,8.0,0.0,0.0,0.0,64.18,21.35,80.22,3296.0,55441.0,22559.0,6395.0,30.0,87721.0
2023,4,Mendoza,59927.0,30832.0,163950.0,28011.0,233.0,9797.0,1102.0,0.0,0.0,5499.0,49.46,14.55,52.15,17676.0,70920.0,182220.0,27609.0,926.0,299351.0
2023,4,Misiones,57108.0,11346.0,39271.0,49247.0,5690.0,27158.0,1588.0,0.0,0.0,8925.0,93.65,15.33,56.27,25840.0,79000.0,75382.0,12928.0,7183.0,200333.0
2023,4,Neuquén,50050.0,10694.0,22683.0,30640.0,5.0,29928.0,451.0,0.0,0.0,20176.0,99.63,23.78,79.91,24122.0,73784.0,41583.0,24390.0,748.0,164627.0
2023,4,Río Negro,44982.0,32022.0,22395.0,32952.0,1096.0,18945.0,439.0,0.0,0.0,15586.0,74.37,21.61,70.26,21192.0,49789.0,64323.0,17284.0,15829.0,168417.0
2023,4,Salta,95275.0,3747.0,29145.0,37844.0,456.0,30531.0,1049.0,0.0,0.0,6685.0,83.04,13.8,56.98,26765.0,98853.0,60800.0,11806.0,6508.0,204732.0
2023,4,San Juan,36084.0,13455.0,29053.0,1343.0,0.0,544.0,82.0,0.0,0.0,22649.0,24.78,12.75,50.08,12669.0,18543.0,42691.0,22351.0,6956.0,103210.0
2023,4,San Luis,35759.0,84725.0,7206.0,1500.0,0.0,590.0,23988.0,0.0,0.0,917.0,174.59,29.21,102.07,4037.0,41260.0,30135.0,78954.0,299.0,154685.0
2023,4,Santa Cruz,19097.0,13043.0,12533.0,7088.0,1602.0,234.0,0.0,0.0,0.0,33434.0,36.77,21.94,73.75,7768.0,15669.0,55246.0,7687.0,661.0,87031.0
2023,4,Santa Fe,253675.0,68578.0,186078.0,206402.0,12792.0,160635.0,4915.0,0.0,0.0,16426.0,99.81,25.08,79.75,97004.0,398670.0,355762.0,44521.0,13544.0,909501.0
2023,4,Santiago Del Estero,68351.0,24531.0,10542.0,9198.0,0.0,9540.0,138.0,0.0,0.0,930.0,44.22,12.18,49.08,8290.0,80692.0,24271.0,7057.0,2920.0,123230.0
2023,4,Tierra Del Fuego,23757.0,25392.0,3475.0,441.0,29.0,625.0,0.0,1.0,0.0,7879.0,17.92,32.75,110.49,9357.0,48071.0,3682.0,157.0,332.0,61599.0
2023,4,Tucumán,42795.0,25074.0,78441.0,72633.0,4.0,45542.0,1284.0,0.0,0.0,562.0,101.55,15.12,61.04,41318.0,20267.0,199876.0,4357.0,517.0,266335.0
2023,3,Buenos Aires,535580.0,294798.0,1264911.0,911876.0,511235.0,1237732.0,89343.0,0.0,0.0,122762.0,146.84,27.5,80.64,237705.0,2784175.0,1740239.0,137921.0,68197.0,4968237.0
2023,3,Capital Federal,84194.0,34653.0,119366.0,382489.0,155659.0,655079.0,36544.0,0.0,0.0,0.0,218.13,47.6,116.4,60765.0,1205339.0,167428.0,4629.0,29823.0,1467984.0
2023,3,Catamarca,7382.0,5891.0,35350.0,16632.0,42.0,8444.0,522.0,0.0,0.0,92.0,87.9,17.44,68.55,7164.0,11066.0,54650.0,1384.0,91.0,74355.0
2023,3,Chaco,27648.0,7666.0,32337.0,42558.0,2001.0,25423.0,424.0,0.0,0.0,4089.0,107.5,11.46,42.87,16420.0,60058.0,54993.0,8267.0,2408.0,142146.0
2023,3,Chubut,76923.0,37413.0,36090.0,1014.0,1.0,49.0,0.0,0.0,0.0,16578.0,19.26,25.82,84.23,26352.0,75460.0,25827.0,30521.0,9908.0,168068.0
2023,3,Córdoba,231467.0,72909.0,228188.0,296011.0,566.0,218724.0,4535.0,0.0,0.0,16934.0,111.5,27.57,90.05,125050.0,453994.0,417338.0,62514.0,10438.0,1069334.0
2023,3,Corrientes,44768.0,6771.0,33595.0,35317.0,3509.0,27711.0,182.0,0.0,0.0,7976.0,99.64,13.9,52.78,24253.0,83897.0,36032.0,10407.0,5240.0,159829.0
2023,3,Entre Ríos,93558.0,21075.0,59003.0,60268.0,2719.0,56257.0,413.0,0.0,0.0,0.0,96.26,20.58,68.84,45384.0,157464.0,54794.0,24481.0,11170.0,293293.0
2023,3,Formosa,33909.0,5053.0,1059.0,9576.0,0.0,11298.0,60.0,0.0,0.0,359.0,80.29,9.89,38.86,11230.0,18053.0,14904.0,16899.0,228.0,61314.0
2023,3,Jujuy,29162.0,28964.0,44606.0,7991.0,3.0,4295.0,328.0,0.0,0.0,2028.0,44.55,14.73,57.61,12627.0,51082.0,48350.0,4067.0,1251.0,117377.0
2023,3,La Pampa,67581.0,14740.0,27969.0,6463.0,1038.0,515.0,2.0,0.0,0.0,1613.0,24.21,32.62,99.0,6844.0,59063.0,32891.0,20014.0,1109.0,119921.0
2023,3,La Rioja,4083.0,25144.0,40714.0,10909.0,137.0,6708.0,6.0,0.0,0.0,0.0,63.84,21.41,80.44,3726.0,55494.0,22054.0,6395.0,32.0,87701.0
2023,3,Mendoza,60230.0,31487.0,164939.0,26785.0,119.0,8169.0,769.0,0.0,0.0,5524.0,46.96,14.52,52.03,17677.0,73066.0,178719.0,27609.0,951.0,298022.0
2023,3,Misiones,58621.0,11908.0,37987.0,46646.0,4759.0,27082.0,1240.0,0.0,0.0,8892.0,91.49,15.12,55.51,27934.0,79087.0,70003.0,12928.0,7183.0,197135.0
